target_slot	color	position	swapped_node
157	A	0	2
157	C	0	4
157	G	0	9
157	I	26	18
157	J	25	36
157	E	1	73
157	B	59	147
157	D	59	295
157	F	37	590
157	H	36	1181
158	A	0	2
158	C	0	4
158	G	0	9
158	I	26	18
158	J	25	36
158	E	1	73
158	B	59	147
158	D	59	295
158	F	38	591
158	H	37	1182
159	A	0	2
159	C	0	4
159	G	0	9
159	I	26	18
159	J	25	36
159	E	1	73
159	B	59	147
159	D	59	295
159	F	38	591
159	H	38	1183
160	A	0	2
160	C	0	4
160	G	0	9
160	I	26	18
160	H	26	37
160	J	26	74
160	B	65	148
160	D	64	296
160	F	40	592
160	E	15	1184
161	A	0	2
161	C	0	4
161	G	0	9
161	I	26	18
161	H	26	37
161	J	26	74
161	B	65	148
161	D	64	296
161	F	40	592
161	E	16	1185
162	A	0	2
162	C	0	4
162	G	0	9
162	I	26	18
162	H	26	37
162	J	26	74
162	B	65	148
162	D	64	296
162	F	41	593
162	E	17	1186
163	A	0	2
163	C	0	4
163	G	0	9
163	I	26	18
163	H	26	37
163	J	26	74
163	B	65	148
163	D	64	296
163	F	41	593
163	E	18	1187
164	A	0	2
164	C	0	4
164	G	0	9
164	I	26	18
164	H	26	37
164	J	26	74
164	B	65	148
164	E	14	297
164	D	65	594
164	F	43	1188
165	A	0	2
165	C	0	4
165	G	0	9
165	I	26	18
165	H	26	37
165	J	26	74
165	B	65	148
165	E	14	297
165	D	65	594
165	F	44	1189
166	A	0	2
166	C	0	4
166	G	0	9
166	I	26	18
166	H	26	37
166	J	26	74
166	B	65	148
166	E	14	297
166	F	42	595
166	D	66	1190
167	A	0	2
167	C	0	4
167	G	0	9
167	I	26	18
167	H	26	37
167	J	26	74
167	B	65	148
167	E	14	297
167	F	42	595
167	D	67	1191
168	A	0	2
168	C	0	4
168	G	0	9
168	I	26	18
168	H	26	37
168	J	26	74
168	E	13	149
168	D	68	298
168	F	45	596
168	B	67	1192
169	A	0	2
169	C	0	4
169	G	0	9
169	I	26	18
169	H	26	37
169	J	26	74
169	E	13	149
169	D	68	298
169	F	45	596
169	B	68	1193
170	A	0	2
170	C	0	4
170	G	0	9
170	I	26	18
170	H	26	37
170	J	26	74
170	E	13	149
170	D	68	298
170	F	46	597
170	B	69	1194
171	A	0	2
171	C	0	4
171	G	0	9
171	I	26	18
171	H	26	37
171	J	26	74
171	E	13	149
