id,source_index,n,N,m,B_joint,OPT,original_AB,pair_union,three_color,three_then_four,original_AB_coloring_seconds,pair_additional_seconds,three_additional_seconds,four_additional_seconds,final_stop
S0762,762,13,24,6,4,4,5,5,4,4,0.0012245000107213855,0.00021389999892562628,0.0035500999074429274,5.600042641162872e-06,capacity_certificate
S0763,763,13,24,5,5,5,5,5,5,5,0.0006793999345973134,5.699926987290382e-06,3.700028173625469e-06,3.200024366378784e-06,capacity_certificate
S0764,764,13,24,5,5,5,5,5,5,5,0.0005957999965175986,4.200031980872154e-06,3.100023604929447e-06,2.8999056667089462e-06,capacity_certificate
S0765,765,13,24,6,4,4,5,5,4,4,0.001067899982444942,0.00014819996431469917,0.0028209000593051314,4.100031219422817e-06,capacity_certificate
S0766,766,13,24,5,5,5,5,5,5,5,0.0005564000457525253,5.299923941493034e-06,3.100023604929447e-06,2.700020559132099e-06,capacity_certificate
S0767,767,13,24,5,5,5,5,5,5,5,0.0005764000816270709,4.900037311017513e-06,3.500026650726795e-06,2.9999064281582832e-06,capacity_certificate
S0768,768,13,24,6,4,4,5,5,4,4,0.0010735000250861049,0.00023999996483325958,0.0034902000334113836,5.400041118264198e-06,capacity_certificate
S0769,769,13,24,5,5,5,5,5,5,5,0.0008975000819191337,1.0400079190731049e-05,5.499925464391708e-06,4.800036549568176e-06,capacity_certificate
S0770,770,13,24,5,5,5,5,5,5,5,0.0014601999428123236,8.499948307871819e-06,5.100038833916187e-06,4.400033503770828e-06,capacity_certificate
S0771,771,13,24,6,4,4,5,5,4,4,0.000816799933090806,0.0002367000561207533,0.004564799950458109,7.300055585801601e-06,capacity_certificate
S0772,772,13,24,6,4,4,5,5,4,4,0.0009043000172823668,0.0002741999924182892,0.003288000007160008,4.300032742321491e-06,capacity_certificate
S0773,773,13,24,6,4,4,5,5,4,4,0.0006613000296056271,0.00016220007091760635,0.003079799935221672,5.00003807246685e-06,capacity_certificate
S0774,774,13,24,5,5,5,5,5,5,5,0.000750300008803606,6.8999361246824265e-06,4.500034265220165e-06,3.600027412176132e-06,capacity_certificate
S0775,775,13,24,5,5,5,5,5,5,5,0.0009592999704182148,1.070008147507906e-05,5.700043402612209e-06,4.600035026669502e-06,capacity_certificate
S0776,776,13,24,6,4,4,5,5,4,4,0.0008461000397801399,0.00022869999520480633,0.00391010008752346,5.399924702942371e-06,capacity_certificate
S0777,777,13,24,5,5,5,5,5,5,5,0.0007270999485626817,6.6999346017837524e-06,4.00003045797348e-06,4.500034265220165e-06,capacity_certificate
S0778,778,13,24,5,5,5,5,5,5,5,0.0007278000703081489,6.200047209858894e-06,4.400033503770828e-06,4.199915565550327e-06,capacity_certificate
S0779,779,13,24,5,5,5,5,5,5,5,0.0008536999812349677,7.79994297772646e-06,4.700035788118839e-06,3.8000289350748062e-06,capacity_certificate
S0780,780,13,24,5,5,5,5,5,5,5,0.000893999938853085,7.1999384090304375e-06,4.900037311017513e-06,4.500034265220165e-06,capacity_certificate
S0781,781,13,24,4,6,6,7,7,6,6,0.0007214000215753913,0.00012470001820474863,0.0011817000340670347,4.799920134246349e-06,capacity_certificate
S0782,782,13,24,6,4,4,5,5,4,4,0.0007541000377386808,0.00019369996152818203,0.0031823000172153115,5.300040356814861e-06,capacity_certificate
S0783,783,13,24,5,5,5,5,5,5,5,0.0007957998896017671,7.400056347250938e-06,4.499917849898338e-06,3.8000289350748062e-06,capacity_certificate
S0784,784,13,24,5,5,5,5,5,5,5,0.0007833999115973711,7.100054062902927e-06,5.00003807246685e-06,4.300032742321491e-06,capacity_certificate
S0785,785,13,24,5,5,5,5,5,5,5,0.0008878998924046755,7.3999399319291115e-06,5.700043402612209e-06,4.700035788118839e-06,capacity_certificate
S0786,786,13,24,5,5,5,5,5,5,5,0.001806400017812848,9.899958968162537e-06,5.600042641162872e-06,4.799920134246349e-06,capacity_certificate
S0787,787,13,24,6,4,4,5,5,4,4,0.0012306999415159225,0.00028540007770061493,0.0034004999324679375,6.500049494206905e-06,capacity_certificate
S0788,788,13,24,6,4,4,5,5,4,4,0.001056100009009242,0.00017120002303272486,0.0029552000341936946,4.899920895695686e-06,capacity_certificate
S0789,789,13,24,5,5,5,5,5,5,5,0.0010436000302433968,8.699949830770493e-06,5.100038833916187e-06,4.300032742321491e-06,capacity_certificate
S0790,790,13,24,5,5,5,5,5,5,5,0.0011272999690845609,8.399947546422482e-06,4.900037311017513e-06,4.800036549568176e-06,capacity_certificate
S0791,791,13,24,5,5,5,5,5,5,5,0.000914399977773428,7.00005330145359e-06,4.799920134246349e-06,4.300032742321491e-06,capacity_certificate
S0792,792,13,24,5,5,5,5,5,5,5,0.0008092999923974276,5.600042641162872e-06,4.299916326999664e-06,3.700028173625469e-06,capacity_certificate
S0793,793,13,24,4,6,6,7,7,6,6,0.00027210009284317493,9.280000813305378e-05,0.0009290999732911587,4.200031980872154e-06,capacity_certificate
S0794,794,13,24,5,5,5,5,5,5,5,0.0006712999893352389,6.500049494206905e-06,3.600027412176132e-06,3.2999087125062943e-06,capacity_certificate
S0795,795,13,24,5,5,5,5,5,5,5,0.0006925000343471766,5.600042641162872e-06,3.600027412176132e-06,3.00002284348011e-06,capacity_certificate
S0796,796,13,24,4,6,6,7,7,6,6,0.0002722999779507518,8.869997691363096e-05,0.0008337999461218715,4.800036549568176e-06,capacity_certificate
S0797,797,14,26,6,6,6,6,6,6,6,0.001277000061236322,9.299954399466515e-06,6.600050255656242e-06,5.999929271638393e-06,capacity_certificate
S0798,798,14,26,6,6,6,6,6,6,6,0.000853499979712069,8.899951353669167e-06,6.200047209858894e-06,5.199923180043697e-06,capacity_certificate
S0799,799,14,26,6,6,6,6,6,6,6,0.0007298999698832631,7.2999391704797745e-06,5.900044925510883e-06,5.199923180043697e-06,capacity_certificate
S0800,800,14,26,6,6,6,6,6,6,6,0.000732000102289021,6.400048732757568e-06,4.600035026669502e-06,4.09991480410099e-06,capacity_certificate
S0801,801,14,26,6,6,6,6,6,6,6,0.0004221999552100897,6.900052540004253e-06,4.499917849898338e-06,4.00003045797348e-06,capacity_certificate
S0802,802,14,26,6,6,6,6,6,6,6,0.0005161999724805355,6.600050255656242e-06,4.599918611347675e-06,3.900029696524143e-06,capacity_certificate
S0803,803,14,26,6,6,6,6,6,6,6,0.0004039999330416322,5.599926225841045e-06,4.300032742321491e-06,3.8000289350748062e-06,capacity_certificate
S0804,804,14,26,6,6,6,6,6,6,6,0.0008518000831827521,6.100046448409557e-06,5.100038833916187e-06,4.199915565550327e-06,capacity_certificate
S0805,805,14,26,6,6,6,6,6,6,6,0.001184399938210845,6.600050255656242e-06,5.399924702942371e-06,4.900037311017513e-06,capacity_certificate
S0806,806,14,26,6,6,6,6,6,6,6,0.0013380000600591302,1.0400079190731049e-05,6.6999346017837524e-06,5.400041118264198e-06,capacity_certificate
S0807,807,14,26,6,6,6,6,6,6,6,0.0011078000534325838,7.3999399319291115e-06,5.800044164061546e-06,4.799920134246349e-06,capacity_certificate
S0808,808,14,26,6,6,6,6,6,6,6,0.0013955000322312117,1.009996049106121e-05,7.0999376475811005e-06,6.200047209858894e-06,capacity_certificate
S0809,809,14,26,6,6,6,6,6,6,6,0.0015829999465495348,1.079996582120657e-05,6.199930794537067e-06,5.200039595365524e-06,capacity_certificate
S0810,810,14,26,6,6,6,6,6,6,6,0.0012681999942287803,8.200062438845634e-06,6.299931555986404e-06,5.300040356814861e-06,capacity_certificate
S0811,811,14,26,6,6,6,6,6,6,6,0.0010910999262705445,9.09995287656784e-06,6.700051017105579e-06,6.100046448409557e-06,capacity_certificate
S0812,812,14,26,6,5,5,6,6,5,5,0.0017784000374376774,0.0003299000672996044,0.0046449999790638685,8.399947546422482e-06,capacity_certificate
S0813,813,14,26,6,5,5,5,5,5,5,0.001438200008124113,8.899951353669167e-06,5.500041879713535e-06,4.500034265220165e-06,capacity_certificate
S0814,814,14,26,6,5,5,5,5,5,5,0.00134379998780787,7.100054062902927e-06,4.800036549568176e-06,4.399917088449001e-06,capacity_certificate
S0815,815,14,26,6,5,5,5,5,5,5,0.002079300000332296,9.100069291889668e-06,6.09993003308773e-06,5.500041879713535e-06,capacity_certificate
S0816,816,14,26,6,5,5,5,5,5,5,0.0016676000086590648,8.899951353669167e-06,6.500049494206905e-06,5.899928510189056e-06,capacity_certificate
S0817,817,14,26,6,5,5,5,5,5,5,0.002311800024472177,1.1899974197149277e-05,7.100054062902927e-06,5.599926225841045e-06,capacity_certificate
S0818,818,14,26,6,5,5,5,5,5,5,0.0023923999397084117,1.1499971151351929e-05,7.200054824352264e-06,5.799927748739719e-06,capacity_certificate
S0819,819,14,26,6,5,5,5,5,5,5,0.0021606999216601253,8.900067768990993e-06,6.299931555986404e-06,5.300040356814861e-06,capacity_certificate
S0820,820,14,26,6,6,6,6,6,6,6,0.001372199971228838,8.300063200294971e-06,5.699926987290382e-06,5.100038833916187e-06,capacity_certificate
S0821,821,14,26,6,5,5,6,6,5,5,0.000964700011536479,0.0003350999904796481,0.0041047000559046865,8.399947546422482e-06,capacity_certificate
S0822,822,14,26,6,5,5,5,5,5,5,0.0013812000397592783,8.70006624609232e-06,5.799927748739719e-06,5.100038833916187e-06,capacity_certificate
